Inference - Gaussian_SPMCS
save_image: False
border: False
input_path: ../dataset/SPMCS_BlurDown_Gaussian/blurdown_x4
gt_path: ../dataset/SPMCS_BlurDown_Gaussian/sharp
model_path: ../pretrain_models/gaussian_e1r3.pt
result_path: ../infer_results/infer_Gaussian_SPMCS
quick_test: Gaussian_SPMCS
large_model: False
n_seq: 5
scale: 4
size_must_mode: 1
device: cuda
Loading model from ../pretrain_models/gaussian_e1r3.pt
> HKVTG_004-0018 PSNR=26.728, SSIM=0.7098 pre_time:0.0191s, forward_time:0.361s, post_time:0.672s, total_time:1.05s
> HKVTG_004-0019 PSNR=26.838, SSIM=0.7135 pre_time:0.0179s, forward_time:0.318s, post_time:0.667s, total_time:1.0s
> HKVTG_004-0020 PSNR=26.852, SSIM=0.7139 pre_time:0.0195s, forward_time:0.27s, post_time:0.667s, total_time:0.956s
> HKVTG_004-0021 PSNR=26.725, SSIM=0.7095 pre_time:0.018s, forward_time:0.39s, post_time:0.689s, total_time:1.1s
> HKVTG_004-0022 PSNR=26.888, SSIM=0.7153 pre_time:0.0194s, forward_time:0.237s, post_time:0.687s, total_time:0.943s
> HKVTG_004-0023 PSNR=26.9, SSIM=0.716 pre_time:0.0186s, forward_time:0.384s, post_time:0.66s, total_time:1.06s
> HKVTG_004-0024 PSNR=26.795, SSIM=0.7119 pre_time:0.018s, forward_time:0.319s, post_time:0.673s, total_time:1.01s
> HKVTG_004-0025 PSNR=26.861, SSIM=0.714 pre_time:0.0184s, forward_time:0.26s, post_time:0.674s, total_time:0.953s
> HKVTG_004-0026 PSNR=26.843, SSIM=0.714 pre_time:0.0179s, forward_time:0.389s, post_time:0.67s, total_time:1.08s
> HKVTG_004-0027 PSNR=26.748, SSIM=0.7108 pre_time:0.0229s, forward_time:0.235s, post_time:0.762s, total_time:1.02s
> HKVTG_004-0028 PSNR=26.886, SSIM=0.7157 pre_time:0.0222s, forward_time:0.354s, post_time:0.756s, total_time:1.13s
> HKVTG_004-0029 PSNR=26.876, SSIM=0.7155 pre_time:0.0225s, forward_time:0.321s, post_time:0.747s, total_time:1.09s
> LDVTG_009-0003 PSNR=24.631, SSIM=0.8066 pre_time:0.0223s, forward_time:0.246s, post_time:0.748s, total_time:1.02s
> LDVTG_009-0004 PSNR=24.33, SSIM=0.7988 pre_time:0.0224s, forward_time:0.301s, post_time:0.764s, total_time:1.09s
> LDVTG_009-0005 PSNR=24.435, SSIM=0.8015 pre_time:0.0234s, forward_time:0.363s, post_time:0.745s, total_time:1.13s
> LDVTG_009-0006 PSNR=24.51, SSIM=0.8027 pre_time:0.0223s, forward_time:0.249s, post_time:0.754s, total_time:1.03s
> LDVTG_009-0007 PSNR=24.387, SSIM=0.7992 pre_time:0.0225s, forward_time:0.311s, post_time:0.756s, total_time:1.09s
> LDVTG_009-0008 PSNR=24.345, SSIM=0.7996 pre_time:0.0234s, forward_time:0.372s, post_time:0.747s, total_time:1.14s
> LDVTG_009-0009 PSNR=25.492, SSIM=0.8286 pre_time:0.0223s, forward_time:0.247s, post_time:0.743s, total_time:1.01s
> LDVTG_009-0010 PSNR=24.473, SSIM=0.8033 pre_time:0.0225s, forward_time:0.307s, post_time:0.754s, total_time:1.08s
> LDVTG_009-0011 PSNR=24.825, SSIM=0.8121 pre_time:0.0227s, forward_time:0.39s, post_time:0.747s, total_time:1.16s
> LDVTG_009-0012 PSNR=25.098, SSIM=0.8198 pre_time:0.0225s, forward_time:0.247s, post_time:0.748s, total_time:1.02s
> LDVTG_009-0013 PSNR=24.512, SSIM=0.8038 pre_time:0.0221s, forward_time:0.271s, post_time:0.765s, total_time:1.06s
> LDVTG_009-0014 PSNR=24.6, SSIM=0.8066 pre_time:0.0223s, forward_time:0.392s, post_time:0.748s, total_time:1.16s
> LDVTG_009-0015 PSNR=24.394, SSIM=0.8017 pre_time:0.0226s, forward_time:0.243s, post_time:0.747s, total_time:1.01s
> LDVTG_009-0016 PSNR=24.473, SSIM=0.8016 pre_time:0.0225s, forward_time:0.297s, post_time:0.763s, total_time:1.08s
> LDVTG_009-0017 PSNR=24.467, SSIM=0.8017 pre_time:0.0228s, forward_time:0.384s, post_time:0.748s, total_time:1.15s
> LDVTG_009-0018 PSNR=24.39, SSIM=0.8003 pre_time:0.0223s, forward_time:0.246s, post_time:0.749s, total_time:1.02s
> LDVTG_009-0019 PSNR=24.811, SSIM=0.8092 pre_time:0.0233s, forward_time:0.324s, post_time:0.758s, total_time:1.11s
> LDVTG_009-0020 PSNR=24.743, SSIM=0.8109 pre_time:0.0235s, forward_time:0.374s, post_time:0.751s, total_time:1.15s
> LDVTG_009-0021 PSNR=25.407, SSIM=0.8263 pre_time:0.0223s, forward_time:0.246s, post_time:0.748s, total_time:1.02s
> LDVTG_009-0022 PSNR=24.869, SSIM=0.8128 pre_time:0.023s, forward_time:0.324s, post_time:0.765s, total_time:1.11s
> LDVTG_009-0023 PSNR=24.738, SSIM=0.8101 pre_time:0.0241s, forward_time:0.371s, post_time:0.753s, total_time:1.15s
> LDVTG_009-0024 PSNR=25.078, SSIM=0.8187 pre_time:0.0231s, forward_time:0.255s, post_time:0.755s, total_time:1.03s
> LDVTG_009-0025 PSNR=24.845, SSIM=0.8134 pre_time:0.0237s, forward_time:0.305s, post_time:0.766s, total_time:1.09s
> LDVTG_009-0026 PSNR=25.175, SSIM=0.8203 pre_time:0.023s, forward_time:0.381s, post_time:0.756s, total_time:1.16s
> LDVTG_009-0027 PSNR=24.808, SSIM=0.812 pre_time:0.0232s, forward_time:0.25s, post_time:0.755s, total_time:1.03s
> LDVTG_009-0028 PSNR=24.52, SSIM=0.8031 pre_time:0.023s, forward_time:0.34s, post_time:0.762s, total_time:1.12s
> LDVTG_009-0029 PSNR=24.529, SSIM=0.804 pre_time:0.0235s, forward_time:0.374s, post_time:0.747s, total_time:1.14s
> LDVTG_022-0003 PSNR=27.821, SSIM=0.8182 pre_time:0.0212s, forward_time:0.254s, post_time:0.745s, total_time:1.02s
> LDVTG_022-0004 PSNR=27.924, SSIM=0.8181 pre_time:0.0211s, forward_time:0.27s, post_time:0.765s, total_time:1.06s
> LDVTG_022-0005 PSNR=27.925, SSIM=0.818 pre_time:0.0212s, forward_time:0.397s, post_time:0.75s, total_time:1.17s
> LDVTG_022-0006 PSNR=27.907, SSIM=0.8172 pre_time:0.021s, forward_time:0.243s, post_time:0.755s, total_time:1.02s
> LDVTG_022-0007 PSNR=27.916, SSIM=0.818 pre_time:0.0218s, forward_time:0.248s, post_time:0.522s, total_time:0.792s
> LDVTG_022-0008 PSNR=27.913, SSIM=0.8185 pre_time:0.0147s, forward_time:0.222s, post_time:0.526s, total_time:0.763s
> LDVTG_022-0009 PSNR=27.971, SSIM=0.8201 pre_time:0.0147s, forward_time:0.22s, post_time:0.519s, total_time:0.754s
> LDVTG_022-0010 PSNR=27.877, SSIM=0.8171 pre_time:0.0147s, forward_time:0.22s, post_time:0.52s, total_time:0.755s
> LDVTG_022-0011 PSNR=27.923, SSIM=0.819 pre_time:0.0146s, forward_time:0.224s, post_time:0.52s, total_time:0.759s
> LDVTG_022-0012 PSNR=27.974, SSIM=0.8203 pre_time:0.0148s, forward_time:0.225s, post_time:0.517s, total_time:0.757s
> LDVTG_022-0013 PSNR=27.975, SSIM=0.8198 pre_time:0.0148s, forward_time:0.218s, post_time:0.517s, total_time:0.749s
> LDVTG_022-0014 PSNR=27.873, SSIM=0.8177 pre_time:0.0147s, forward_time:0.224s, post_time:0.519s, total_time:0.758s
> LDVTG_022-0015 PSNR=27.917, SSIM=0.8191 pre_time:0.0147s, forward_time:0.218s, post_time:0.515s, total_time:0.747s
> LDVTG_022-0016 PSNR=27.995, SSIM=0.8215 pre_time:0.0147s, forward_time:0.224s, post_time:0.519s, total_time:0.757s
> LDVTG_022-0017 PSNR=27.896, SSIM=0.8183 pre_time:0.0151s, forward_time:0.22s, post_time:0.519s, total_time:0.754s
> LDVTG_022-0018 PSNR=27.932, SSIM=0.8197 pre_time:0.0148s, forward_time:0.221s, post_time:0.516s, total_time:0.752s
> LDVTG_022-0019 PSNR=27.976, SSIM=0.8212 pre_time:0.0147s, forward_time:0.217s, post_time:0.517s, total_time:0.748s
> LDVTG_022-0020 PSNR=27.986, SSIM=0.8208 pre_time:0.0147s, forward_time:0.221s, post_time:0.514s, total_time:0.75s
> LDVTG_022-0021 PSNR=27.921, SSIM=0.8191 pre_time:0.0146s, forward_time:0.221s, post_time:0.518s, total_time:0.754s
> LDVTG_022-0022 PSNR=27.923, SSIM=0.8191 pre_time:0.0147s, forward_time:0.219s, post_time:0.522s, total_time:0.756s
> LDVTG_022-0023 PSNR=27.963, SSIM=0.8203 pre_time:0.0147s, forward_time:0.221s, post_time:0.515s, total_time:0.75s
> LDVTG_022-0024 PSNR=28.001, SSIM=0.8219 pre_time:0.0147s, forward_time:0.222s, post_time:0.518s, total_time:0.754s
> LDVTG_022-0025 PSNR=28.021, SSIM=0.8225 pre_time:0.0147s, forward_time:0.222s, post_time:0.523s, total_time:0.76s
> LDVTG_022-0026 PSNR=27.923, SSIM=0.8196 pre_time:0.0147s, forward_time:0.219s, post_time:0.521s, total_time:0.755s
> LDVTG_022-0027 PSNR=27.958, SSIM=0.8205 pre_time:0.0147s, forward_time:0.223s, post_time:0.519s, total_time:0.757s
> LDVTG_022-0028 PSNR=27.986, SSIM=0.8213 pre_time:0.0147s, forward_time:0.223s, post_time:0.515s, total_time:0.752s
> LDVTG_022-0029 PSNR=27.991, SSIM=0.8218 pre_time:0.0147s, forward_time:0.219s, post_time:0.519s, total_time:0.752s
> NYVTG_006-0003 PSNR=28.342, SSIM=0.8367 pre_time:0.0153s, forward_time:0.224s, post_time:0.52s, total_time:0.76s
> NYVTG_006-0004 PSNR=28.432, SSIM=0.8386 pre_time:0.0154s, forward_time:0.217s, post_time:0.518s, total_time:0.75s
> NYVTG_006-0005 PSNR=28.354, SSIM=0.837 pre_time:0.0153s, forward_time:0.222s, post_time:0.519s, total_time:0.756s
> NYVTG_006-0006 PSNR=28.336, SSIM=0.8366 pre_time:0.0156s, forward_time:0.218s, post_time:0.521s, total_time:0.755s
> NYVTG_006-0007 PSNR=28.369, SSIM=0.8372 pre_time:0.0154s, forward_time:0.222s, post_time:0.522s, total_time:0.76s
> NYVTG_006-0008 PSNR=28.354, SSIM=0.8371 pre_time:0.0152s, forward_time:0.216s, post_time:0.521s, total_time:0.752s
