Inference - Gaussian_REDS4
save_image: False
border: False
input_path: ../dataset/REDS4_BlurDown_Gaussian/blurdown_x4
gt_path: ../dataset/REDS4_BlurDown_Gaussian/sharp
model_path: ../pretrain_models/gaussian_e1r3.pt
result_path: ../infer_results/infer_Gaussian_REDS4
quick_test: Gaussian_REDS4
large_model: False
n_seq: 5
scale: 4
size_must_mode: 1
device: cuda
Loading model from ../pretrain_models/gaussian_e1r3.pt
> 000-00000047 PSNR=26.692, SSIM=0.7515 pre_time:0.0265s, forward_time:0.463s, post_time:0.865s, total_time:1.35s
> 000-00000048 PSNR=26.799, SSIM=0.7562 pre_time:0.0262s, forward_time:0.468s, post_time:0.87s, total_time:1.36s
> 000-00000049 PSNR=26.659, SSIM=0.7521 pre_time:0.0265s, forward_time:0.466s, post_time:0.871s, total_time:1.36s
> 000-00000050 PSNR=26.551, SSIM=0.7475 pre_time:0.0265s, forward_time:0.467s, post_time:0.87s, total_time:1.36s
> 000-00000051 PSNR=26.536, SSIM=0.7462 pre_time:0.0264s, forward_time:0.468s, post_time:0.867s, total_time:1.36s
> 000-00000052 PSNR=26.53, SSIM=0.7462 pre_time:0.0264s, forward_time:0.465s, post_time:0.876s, total_time:1.37s
> 000-00000053 PSNR=26.57, SSIM=0.7469 pre_time:0.0265s, forward_time:0.464s, post_time:0.87s, total_time:1.36s
> 000-00000054 PSNR=26.678, SSIM=0.7527 pre_time:0.0262s, forward_time:0.458s, post_time:0.867s, total_time:1.35s
> 000-00000055 PSNR=26.669, SSIM=0.7529 pre_time:0.0266s, forward_time:0.462s, post_time:0.863s, total_time:1.35s
> 000-00000056 PSNR=26.641, SSIM=0.7528 pre_time:0.0265s, forward_time:0.466s, post_time:0.875s, total_time:1.37s
> 000-00000057 PSNR=26.627, SSIM=0.7515 pre_time:0.0266s, forward_time:0.468s, post_time:0.862s, total_time:1.36s
> 000-00000058 PSNR=26.581, SSIM=0.7493 pre_time:0.0268s, forward_time:0.464s, post_time:0.888s, total_time:1.38s
> 000-00000059 PSNR=26.877, SSIM=0.7606 pre_time:0.0265s, forward_time:0.478s, post_time:1.05s, total_time:1.55s
> 000-00000060 PSNR=26.993, SSIM=0.7662 pre_time:0.0449s, forward_time:0.478s, post_time:0.898s, total_time:1.42s
> 000-00000061 PSNR=26.956, SSIM=0.764 pre_time:0.0264s, forward_time:0.47s, post_time:0.87s, total_time:1.37s
> 000-00000062 PSNR=26.89, SSIM=0.7625 pre_time:0.0264s, forward_time:0.467s, post_time:0.925s, total_time:1.42s
> 000-00000063 PSNR=26.809, SSIM=0.7612 pre_time:0.0269s, forward_time:0.583s, post_time:0.961s, total_time:1.57s
> 000-00000064 PSNR=26.749, SSIM=0.7601 pre_time:0.029s, forward_time:0.466s, post_time:0.875s, total_time:1.37s
> 000-00000065 PSNR=26.687, SSIM=0.7582 pre_time:0.0269s, forward_time:0.472s, post_time:0.922s, total_time:1.42s
> 000-00000066 PSNR=26.743, SSIM=0.7605 pre_time:0.0271s, forward_time:0.474s, post_time:0.889s, total_time:1.39s
> 000-00000067 PSNR=26.733, SSIM=0.7639 pre_time:0.0287s, forward_time:0.739s, post_time:0.987s, total_time:1.76s
> 000-00000068 PSNR=26.736, SSIM=0.7651 pre_time:0.0355s, forward_time:0.494s, post_time:0.872s, total_time:1.4s
> 000-00000069 PSNR=26.751, SSIM=0.7677 pre_time:0.0269s, forward_time:0.47s, post_time:0.909s, total_time:1.41s
> 000-00000070 PSNR=26.707, SSIM=0.7682 pre_time:0.0303s, forward_time:0.672s, post_time:0.986s, total_time:1.69s
> 000-00000071 PSNR=26.771, SSIM=0.7717 pre_time:0.0274s, forward_time:0.508s, post_time:0.886s, total_time:1.42s
> 000-00000072 PSNR=26.766, SSIM=0.774 pre_time:0.0266s, forward_time:0.474s, post_time:1.19s, total_time:1.69s
> 000-00000073 PSNR=26.771, SSIM=0.7754 pre_time:0.0273s, forward_time:0.465s, post_time:0.946s, total_time:1.44s
> 000-00000074 PSNR=26.835, SSIM=0.7774 pre_time:0.0269s, forward_time:0.526s, post_time:0.92s, total_time:1.47s
> 000-00000075 PSNR=26.75, SSIM=0.7751 pre_time:0.0265s, forward_time:0.467s, post_time:0.857s, total_time:1.35s
> 000-00000076 PSNR=26.66, SSIM=0.7715 pre_time:0.0268s, forward_time:0.455s, post_time:0.86s, total_time:1.34s
> 000-00000077 PSNR=26.611, SSIM=0.7698 pre_time:0.0267s, forward_time:0.464s, post_time:0.865s, total_time:1.36s
> 000-00000078 PSNR=26.638, SSIM=0.7717 pre_time:0.0265s, forward_time:0.456s, post_time:0.857s, total_time:1.34s
> 000-00000079 PSNR=26.53, SSIM=0.7676 pre_time:0.0266s, forward_time:0.456s, post_time:0.862s, total_time:1.34s
> 000-00000080 PSNR=26.617, SSIM=0.7708 pre_time:0.0266s, forward_time:0.468s, post_time:0.869s, total_time:1.36s
> 000-00000081 PSNR=26.606, SSIM=0.7726 pre_time:0.0265s, forward_time:0.464s, post_time:0.862s, total_time:1.35s
> 000-00000082 PSNR=26.567, SSIM=0.773 pre_time:0.0266s, forward_time:0.468s, post_time:0.866s, total_time:1.36s
> 000-00000083 PSNR=26.564, SSIM=0.772 pre_time:0.0265s, forward_time:0.459s, post_time:0.868s, total_time:1.35s
> 000-00000084 PSNR=26.643, SSIM=0.7768 pre_time:0.0267s, forward_time:0.468s, post_time:0.892s, total_time:1.39s
> 000-00000085 PSNR=26.598, SSIM=0.7767 pre_time:0.0266s, forward_time:0.462s, post_time:0.869s, total_time:1.36s
> 000-00000086 PSNR=26.572, SSIM=0.7756 pre_time:0.0268s, forward_time:0.463s, post_time:0.873s, total_time:1.36s
> 000-00000087 PSNR=26.543, SSIM=0.773 pre_time:0.027s, forward_time:0.461s, post_time:0.873s, total_time:1.36s
> 000-00000088 PSNR=26.454, SSIM=0.7706 pre_time:0.027s, forward_time:0.461s, post_time:0.872s, total_time:1.36s
> 000-00000089 PSNR=26.506, SSIM=0.7739 pre_time:0.0282s, forward_time:0.465s, post_time:0.871s, total_time:1.36s
> 000-00000090 PSNR=26.519, SSIM=0.7776 pre_time:0.0267s, forward_time:0.466s, post_time:0.868s, total_time:1.36s
> 000-00000091 PSNR=26.495, SSIM=0.7776 pre_time:0.0266s, forward_time:0.471s, post_time:0.874s, total_time:1.37s
> 000-00000092 PSNR=26.553, SSIM=0.779 pre_time:0.0267s, forward_time:0.467s, post_time:0.872s, total_time:1.37s
> 000-00000093 PSNR=26.435, SSIM=0.7757 pre_time:0.0269s, forward_time:0.454s, post_time:0.874s, total_time:1.36s
