Inference - NonGaussian_REDS4_L
save_image: False
border: False
input_path: ../dataset/REDS4_BlurDown_NonGaussian/blurdown_x4
gt_path: ../dataset/REDS4_BlurDown_NonGaussian/sharp
model_path: ../pretrain_models/kg_e3r20.pt
result_path: ../infer_results/infer_NonGaussian_REDS4_L
quick_test: NonGaussian_REDS4_L
large_model: True
n_seq: 5
scale: 4
size_must_mode: 1
device: cuda
Loading model from ../pretrain_models/kg_e3r20.pt
> 000-00000047 PSNR=27.429, SSIM=0.7987 pre_time:0.0326s, forward_time:0.75s, post_time:1.22s, total_time:2.0s
> 000-00000048 PSNR=27.567, SSIM=0.8033 pre_time:0.0315s, forward_time:0.567s, post_time:1.25s, total_time:1.85s
> 000-00000049 PSNR=27.395, SSIM=0.7981 pre_time:0.0318s, forward_time:0.574s, post_time:1.18s, total_time:1.79s
> 000-00000050 PSNR=27.244, SSIM=0.793 pre_time:0.0401s, forward_time:0.644s, post_time:1.19s, total_time:1.87s
> 000-00000051 PSNR=27.267, SSIM=0.793 pre_time:0.0336s, forward_time:0.664s, post_time:1.19s, total_time:1.88s
> 000-00000052 PSNR=27.255, SSIM=0.7928 pre_time:0.032s, forward_time:0.745s, post_time:1.18s, total_time:1.96s
> 000-00000053 PSNR=27.295, SSIM=0.7941 pre_time:0.0318s, forward_time:0.777s, post_time:1.19s, total_time:2.0s
> 000-00000054 PSNR=27.425, SSIM=0.7993 pre_time:0.0319s, forward_time:0.79s, post_time:1.2s, total_time:2.02s
> 000-00000055 PSNR=27.434, SSIM=0.8001 pre_time:0.0318s, forward_time:0.773s, post_time:1.18s, total_time:1.99s
> 000-00000056 PSNR=27.419, SSIM=0.7998 pre_time:0.0392s, forward_time:0.757s, post_time:1.2s, total_time:1.99s
> 000-00000057 PSNR=27.365, SSIM=0.7988 pre_time:0.0327s, forward_time:0.801s, post_time:1.21s, total_time:2.04s
> 000-00000058 PSNR=27.311, SSIM=0.7947 pre_time:0.0331s, forward_time:0.786s, post_time:1.22s, total_time:2.04s
> 000-00000059 PSNR=27.714, SSIM=0.807 pre_time:0.0318s, forward_time:0.785s, post_time:1.19s, total_time:2.01s
> 000-00000060 PSNR=27.815, SSIM=0.8125 pre_time:0.0323s, forward_time:0.74s, post_time:1.26s, total_time:2.04s
> 000-00000061 PSNR=27.72, SSIM=0.8099 pre_time:0.0318s, forward_time:0.754s, post_time:1.24s, total_time:2.03s
> 000-00000062 PSNR=27.653, SSIM=0.8092 pre_time:0.0317s, forward_time:0.605s, post_time:1.21s, total_time:1.85s
> 000-00000063 PSNR=27.52, SSIM=0.8058 pre_time:0.0316s, forward_time:0.586s, post_time:1.24s, total_time:1.86s
> 000-00000064 PSNR=27.456, SSIM=0.8048 pre_time:0.0325s, forward_time:0.588s, post_time:1.21s, total_time:1.83s
> 000-00000065 PSNR=27.416, SSIM=0.804 pre_time:0.0326s, forward_time:0.593s, post_time:1.18s, total_time:1.81s
> 000-00000066 PSNR=27.495, SSIM=0.8071 pre_time:0.0388s, forward_time:0.637s, post_time:1.21s, total_time:1.88s
> 000-00000067 PSNR=27.496, SSIM=0.8094 pre_time:0.0391s, forward_time:0.628s, post_time:1.18s, total_time:1.85s
> 000-00000068 PSNR=27.498, SSIM=0.8108 pre_time:0.0316s, forward_time:0.643s, post_time:1.18s, total_time:1.85s
> 000-00000069 PSNR=27.53, SSIM=0.8125 pre_time:0.0326s, forward_time:0.642s, post_time:1.18s, total_time:1.86s
> 000-00000070 PSNR=27.49, SSIM=0.8129 pre_time:0.0404s, forward_time:0.667s, post_time:1.2s, total_time:1.91s
> 000-00000071 PSNR=27.599, SSIM=0.8182 pre_time:0.0441s, forward_time:0.631s, post_time:1.18s, total_time:1.85s
> 000-00000072 PSNR=27.535, SSIM=0.8187 pre_time:0.0388s, forward_time:0.635s, post_time:1.18s, total_time:1.85s
> 000-00000073 PSNR=27.566, SSIM=0.8213 pre_time:0.0392s, forward_time:0.635s, post_time:1.19s, total_time:1.86s
> 000-00000074 PSNR=27.63, SSIM=0.8223 pre_time:0.0319s, forward_time:0.627s, post_time:1.19s, total_time:1.85s
> 000-00000075 PSNR=27.515, SSIM=0.8198 pre_time:0.0335s, forward_time:0.638s, post_time:1.18s, total_time:1.85s
> 000-00000076 PSNR=27.423, SSIM=0.8168 pre_time:0.0325s, forward_time:0.638s, post_time:1.18s, total_time:1.85s
> 000-00000077 PSNR=27.336, SSIM=0.8138 pre_time:0.038s, forward_time:0.621s, post_time:1.21s, total_time:1.87s
> 000-00000078 PSNR=27.355, SSIM=0.8145 pre_time:0.0324s, forward_time:0.653s, post_time:1.19s, total_time:1.87s
> 000-00000079 PSNR=27.26, SSIM=0.8116 pre_time:0.0322s, forward_time:0.652s, post_time:1.19s, total_time:1.88s
> 000-00000080 PSNR=27.31, SSIM=0.8132 pre_time:0.0328s, forward_time:0.658s, post_time:1.21s, total_time:1.9s
> 000-00000081 PSNR=27.319, SSIM=0.8164 pre_time:0.0322s, forward_time:0.653s, post_time:1.18s, total_time:1.87s
> 000-00000082 PSNR=27.29, SSIM=0.8162 pre_time:0.032s, forward_time:0.667s, post_time:1.18s, total_time:1.88s
> 000-00000083 PSNR=27.269, SSIM=0.8157 pre_time:0.0326s, forward_time:0.631s, post_time:1.19s, total_time:1.85s
> 000-00000084 PSNR=27.334, SSIM=0.8195 pre_time:0.0332s, forward_time:0.633s, post_time:1.19s, total_time:1.86s
> 000-00000085 PSNR=27.276, SSIM=0.8184 pre_time:0.0324s, forward_time:0.654s, post_time:1.19s, total_time:1.88s
> 000-00000086 PSNR=27.271, SSIM=0.8177 pre_time:0.0333s, forward_time:0.645s, post_time:1.19s, total_time:1.87s
> 000-00000087 PSNR=27.253, SSIM=0.8168 pre_time:0.0332s, forward_time:0.664s, post_time:1.19s, total_time:1.89s
> 000-00000088 PSNR=27.123, SSIM=0.8148 pre_time:0.0342s, forward_time:0.709s, post_time:1.19s, total_time:1.93s
> 000-00000089 PSNR=27.16, SSIM=0.8166 pre_time:0.032s, forward_time:0.694s, post_time:1.19s, total_time:1.92s
> 000-00000090 PSNR=27.225, SSIM=0.8209 pre_time:0.0331s, forward_time:0.663s, post_time:1.19s, total_time:1.89s
> 000-00000091 PSNR=27.21, SSIM=0.8216 pre_time:0.0337s, forward_time:0.646s, post_time:1.18s, total_time:1.86s
> 000-00000092 PSNR=27.252, SSIM=0.8216 pre_time:0.0336s, forward_time:0.684s, post_time:1.19s, total_time:1.91s
> 000-00000093 PSNR=27.137, SSIM=0.8185 pre_time:0.0337s, forward_time:0.77s, post_time:1.18s, total_time:1.99s
> 000-00000094 PSNR=27.179, SSIM=0.8188 pre_time:0.0336s, forward_time:0.745s, post_time:1.21s, total_time:1.99s
> 000-00000095 PSNR=27.24, SSIM=0.8214 pre_time:0.0317s, forward_time:0.564s, post_time:1.26s, total_time:1.86s
> 000-00000096 PSNR=27.409, SSIM=0.8272 pre_time:0.0339s, forward_time:0.598s, post_time:1.19s, total_time:1.82s
> 000-00000097 PSNR=27.614, SSIM=0.8326 pre_time:0.0353s, forward_time:0.66s, post_time:1.2s, total_time:1.89s
> 011-00000002 PSNR=30.972, SSIM=0.8616 pre_time:0.032s, forward_time:0.658s, post_time:1.18s, total_time:1.87s
> 011-00000003 PSNR=31.04, SSIM=0.8649 pre_time:0.0316s, forward_time:0.66s, post_time:1.2s, total_time:1.89s
> 011-00000004 PSNR=31.291, SSIM=0.8769 pre_time:0.0332s, forward_time:0.698s, post_time:1.18s, total_time:1.91s
> 011-00000005 PSNR=31.057, SSIM=0.8726 pre_time:0.0326s, forward_time:0.778s, post_time:1.18s, total_time:1.99s
> 011-00000006 PSNR=31.112, SSIM=0.8739 pre_time:0.032s, forward_time:0.725s, post_time:1.22s, total_time:1.98s
> 011-00000007 PSNR=31.098, SSIM=0.8774 pre_time:0.0331s, forward_time:0.567s, post_time:1.24s, total_time:1.84s
> 011-00000008 PSNR=31.073, SSIM=0.8815 pre_time:0.0324s, forward_time:0.588s, post_time:1.2s, total_time:1.82s
> 011-00000009 PSNR=31.065, SSIM=0.8855 pre_time:0.0323s, forward_time:0.622s, post_time:1.19s, total_time:1.85s
> 011-00000010 PSNR=30.966, SSIM=0.8857 pre_time:0.0338s, forward_time:0.67s, post_time:1.18s, total_time:1.89s
> 011-00000011 PSNR=31.014, SSIM=0.8859 pre_time:0.035s, forward_time:0.758s, post_time:1.17s, total_time:1.96s
> 011-00000012 PSNR=31.072, SSIM=0.8864 pre_time:0.0327s, forward_time:0.718s, post_time:1.22s, total_time:1.97s
> 011-00000013 PSNR=31.041, SSIM=0.8852 pre_time:0.0313s, forward_time:0.599s, post_time:1.23s, total_time:1.86s
> 011-00000014 PSNR=31.071, SSIM=0.882 pre_time:0.0327s, forward_time:0.585s, post_time:1.18s, total_time:1.8s
> 011-00000015 PSNR=31.039, SSIM=0.8793 pre_time:0.0326s, forward_time:0.639s, post_time:1.18s, total_time:1.85s
> 011-00000016 PSNR=31.089, SSIM=0.8796 pre_time:0.0319s, forward_time:0.65s, post_time:1.22s, total_time:1.9s
> 011-00000017 PSNR=31.028, SSIM=0.8804 pre_time:0.0331s, forward_time:0.686s, post_time:1.19s, total_time:1.91s
> 011-00000018 PSNR=31.027, SSIM=0.8821 pre_time:0.0334s, forward_time:0.755s, post_time:1.2s, total_time:1.99s
> 011-00000019 PSNR=30.994, SSIM=0.8804 pre_time:0.034s, forward_time:0.763s, post_time:1.3s, total_time:2.1s
> 011-00000020 PSNR=30.948, SSIM=0.8793 pre_time:0.0322s, forward_time:0.565s, post_time:1.29s, total_time:1.89s
> 011-00000021 PSNR=30.995, SSIM=0.8815 pre_time:0.0317s, forward_time:0.594s, post_time:1.22s, total_time:1.84s
> 011-00000022 PSNR=30.981, SSIM=0.8841 pre_time:0.0326s, forward_time:0.621s, post_time:1.26s, total_time:1.91s
> 011-00000023 PSNR=30.939, SSIM=0.8852 pre_time:0.0343s, forward_time:0.672s, post_time:1.29s, total_time:2.0s
> 011-00000024 PSNR=30.91, SSIM=0.8841 pre_time:0.0453s, forward_time:0.665s, post_time:1.22s, total_time:1.93s
> 011-00000025 PSNR=30.921, SSIM=0.8825 pre_time:0.0335s, forward_time:0.658s, post_time:1.42s, total_time:2.11s
> 011-00000026 PSNR=30.951, SSIM=0.8787 pre_time:0.0644s, forward_time:0.746s, post_time:1.22s, total_time:2.03s
> 011-00000027 PSNR=30.948, SSIM=0.8766 pre_time:0.0317s, forward_time:0.607s, post_time:1.18s, total_time:1.82s
> 011-00000028 PSNR=30.909, SSIM=0.8756 pre_time:0.0362s, forward_time:0.66s, post_time:1.26s, total_time:1.95s
> 011-00000029 PSNR=31.022, SSIM=0.8739 pre_time:0.0325s, forward_time:0.76s, post_time:1.24s, total_time:2.03s
